"X..Interactor.1.uniprot.id"	"Interactor.1.Ensembl.gene.id"	"Interactor.1.Entrez.Gene.id"	"Interactor.2.uniprot.id"	"Interactor.2.Ensembl.gene.id"	"Interactor.2.Entrez.Gene.id"	"Interaction.type"	"Interaction.context"	"Pubmed.references"	"gene_symbol1"	"gene_symbol2"
"236"	"P63261"	"ENSEMBL:ENSP00000516873|ENSEMBL:ENST00000576544|ENSEMBL:ENST00000707468|ENSEMBL:ENST00000707469|ENSEMBL:ENST00000707489|ENSEMBL:ENST00000707487|ENSEMBL:ENST00000707485|ENSEMBL:ENST00000707467|ENSEMBL:ENST00000575994|ENSEMBL:ENST00000570382|ENSEMBL:ENST00000707482|ENSEMBL:ENST00000707473|ENSEMBL:ENST00000707479|ENSEMBL:ENST00000681052|ENSEMBL:ENST00000575659|ENSEMBL:ENST00000707471|ENSEMBL:ENST00000680727|ENSEMBL:ENST00000679480|ENSEMBL:ENST00000575842|ENSEMBL:ENST00000707466|ENSEMBL:ENST00000680227|ENSEMBL:ENST00000681842|ENSEMBL:ENST00000679778|ENSEMBL:ENST00000573283|ENSEMBL:ENST00000707470|ENSEMBL:ENST00000575087|ENSEMBL:ENST00000615544|ENSEMBL:ENST00000571721|ENSEMBL:ENST00000707490|ENSEMBL:ENST00000707474|ENSEMBL:ENST00000707472|ENSEMBL:ENSP00000458162|ENSEMBL:ENSP00000516875|ENSEMBL:ENSP00000516874|ENSEMBL:ENSG00000184009|ENSEMBL:ENSG00000291420|ENSEMBL:ENSP00000506126|ENSEMBL:ENSP00000460660|ENSEMBL:ENSP00000516882|ENSEMBL:ENSP00000506253|ENSEMBL:ENSP00000516887|ENSEMBL:ENSP00000516870|ENSEMBL:ENSP00000460464|ENSEMBL:ENSP00000516872|ENSEMBL:ENSP00000477968|ENSEMBL:ENSP00000459124|ENSEMBL:ENSP00000505060|ENSEMBL:ENSP00000466346|ENSEMBL:ENSP00000516869|ENSEMBL:ENSP00000516881|ENSEMBL:ENSP00000516871|ENSEMBL:ENSP00000516884|ENSEMBL:ENSP00000516886|ENSEMBL:ENSP00000505235|ENSEMBL:ENSP00000458435|ENSEMBL:ENSP00000461672|ENSEMBL:ENSP00000506201|ENSEMBL:ENSP00000516877|ENSEMBL:ENSP00000505193|ENSEMBL:ENSP00000516876|ENSEMBL:ENSP00000516879|ENSEMBL:ENSP00000459119"	"-"	"P68032"	"ENSEMBL:ENST00000290378|ENSEMBL:ENSP00000290378|ENSEMBL:ENSG00000159251"	"-"	"physical association"	"reactome:R-HSA-9913263"	"24243840"	"ACTG1"	"ACTC1"
"237"	"P63261"	"ENSEMBL:ENSP00000516873|ENSEMBL:ENST00000576544|ENSEMBL:ENST00000707468|ENSEMBL:ENST00000707469|ENSEMBL:ENST00000707489|ENSEMBL:ENST00000707487|ENSEMBL:ENST00000707485|ENSEMBL:ENST00000707467|ENSEMBL:ENST00000575994|ENSEMBL:ENST00000570382|ENSEMBL:ENST00000707482|ENSEMBL:ENST00000707473|ENSEMBL:ENST00000707479|ENSEMBL:ENST00000681052|ENSEMBL:ENST00000575659|ENSEMBL:ENST00000707471|ENSEMBL:ENST00000680727|ENSEMBL:ENST00000679480|ENSEMBL:ENST00000575842|ENSEMBL:ENST00000707466|ENSEMBL:ENST00000680227|ENSEMBL:ENST00000681842|ENSEMBL:ENST00000679778|ENSEMBL:ENST00000573283|ENSEMBL:ENST00000707470|ENSEMBL:ENST00000575087|ENSEMBL:ENST00000615544|ENSEMBL:ENST00000571721|ENSEMBL:ENST00000707490|ENSEMBL:ENST00000707474|ENSEMBL:ENST00000707472|ENSEMBL:ENSP00000458162|ENSEMBL:ENSP00000516875|ENSEMBL:ENSP00000516874|ENSEMBL:ENSG00000184009|ENSEMBL:ENSG00000291420|ENSEMBL:ENSP00000506126|ENSEMBL:ENSP00000460660|ENSEMBL:ENSP00000516882|ENSEMBL:ENSP00000506253|ENSEMBL:ENSP00000516887|ENSEMBL:ENSP00000516870|ENSEMBL:ENSP00000460464|ENSEMBL:ENSP00000516872|ENSEMBL:ENSP00000477968|ENSEMBL:ENSP00000459124|ENSEMBL:ENSP00000505060|ENSEMBL:ENSP00000466346|ENSEMBL:ENSP00000516869|ENSEMBL:ENSP00000516881|ENSEMBL:ENSP00000516871|ENSEMBL:ENSP00000516884|ENSEMBL:ENSP00000516886|ENSEMBL:ENSP00000505235|ENSEMBL:ENSP00000458435|ENSEMBL:ENSP00000461672|ENSEMBL:ENSP00000506201|ENSEMBL:ENSP00000516877|ENSEMBL:ENSP00000505193|ENSEMBL:ENSP00000516876|ENSEMBL:ENSP00000516879|ENSEMBL:ENSP00000459119"	"-"	"P60709"	"ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000642480|ENSEMBL:ENST00000675515|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000494269|ENSEMBL:ENSP00000495995"	"-"	"physical association"	"reactome:R-HSA-9913263"	"24243840"	"ACTG1"	"ACTB"
"239"	"P63261"	"ENSEMBL:ENSP00000516873|ENSEMBL:ENST00000576544|ENSEMBL:ENST00000707468|ENSEMBL:ENST00000707469|ENSEMBL:ENST00000707489|ENSEMBL:ENST00000707487|ENSEMBL:ENST00000707485|ENSEMBL:ENST00000707467|ENSEMBL:ENST00000575994|ENSEMBL:ENST00000570382|ENSEMBL:ENST00000707482|ENSEMBL:ENST00000707473|ENSEMBL:ENST00000707479|ENSEMBL:ENST00000681052|ENSEMBL:ENST00000575659|ENSEMBL:ENST00000707471|ENSEMBL:ENST00000680727|ENSEMBL:ENST00000679480|ENSEMBL:ENST00000575842|ENSEMBL:ENST00000707466|ENSEMBL:ENST00000680227|ENSEMBL:ENST00000681842|ENSEMBL:ENST00000679778|ENSEMBL:ENST00000573283|ENSEMBL:ENST00000707470|ENSEMBL:ENST00000575087|ENSEMBL:ENST00000615544|ENSEMBL:ENST00000571721|ENSEMBL:ENST00000707490|ENSEMBL:ENST00000707474|ENSEMBL:ENST00000707472|ENSEMBL:ENSP00000458162|ENSEMBL:ENSP00000516875|ENSEMBL:ENSP00000516874|ENSEMBL:ENSG00000184009|ENSEMBL:ENSG00000291420|ENSEMBL:ENSP00000506126|ENSEMBL:ENSP00000460660|ENSEMBL:ENSP00000516882|ENSEMBL:ENSP00000506253|ENSEMBL:ENSP00000516887|ENSEMBL:ENSP00000516870|ENSEMBL:ENSP00000460464|ENSEMBL:ENSP00000516872|ENSEMBL:ENSP00000477968|ENSEMBL:ENSP00000459124|ENSEMBL:ENSP00000505060|ENSEMBL:ENSP00000466346|ENSEMBL:ENSP00000516869|ENSEMBL:ENSP00000516881|ENSEMBL:ENSP00000516871|ENSEMBL:ENSP00000516884|ENSEMBL:ENSP00000516886|ENSEMBL:ENSP00000505235|ENSEMBL:ENSP00000458435|ENSEMBL:ENSP00000461672|ENSEMBL:ENSP00000506201|ENSEMBL:ENSP00000516877|ENSEMBL:ENSP00000505193|ENSEMBL:ENSP00000516876|ENSEMBL:ENSP00000516879|ENSEMBL:ENSP00000459119"	"-"	"P63267"	"ENSEMBL:ENST00000409624|ENSEMBL:ENST00000409731|ENSEMBL:ENST00000345517|ENSEMBL:ENSP00000295137|ENSEMBL:ENSP00000386929|ENSEMBL:ENSP00000386857|ENSEMBL:ENSG00000163017"	"-"	"physical association"	"reactome:R-HSA-9913263"	"24243840"	"ACTG2"	"ACTG1"
"240"	"P68133"	"ENSEMBL:ENST00000366684|ENSEMBL:ENSP00000355645|ENSEMBL:ENSG00000143632"	"-"	"P62736"	"ENSEMBL:ENSG00000107796|ENSEMBL:ENST00000458159|ENSEMBL:ENST00000415557|ENSEMBL:ENST00000224784|ENSEMBL:ENSP00000396730|ENSEMBL:ENSP00000224784|ENSEMBL:ENSP00000398239"	"-"	"physical association"	"reactome:R-HSA-9913263"	"24243840"	"ACTA2"	"ACTA1"
"244"	"P68032"	"ENSEMBL:ENST00000290378|ENSEMBL:ENSP00000290378|ENSEMBL:ENSG00000159251"	"-"	"P68133"	"ENSEMBL:ENST00000366684|ENSEMBL:ENSP00000355645|ENSEMBL:ENSG00000143632"	"-"	"physical association"	"reactome:R-HSA-9913263"	"24243840"	"ACTC1"	"ACTA1"
"245"	"P63261"	"ENSEMBL:ENSP00000516873|ENSEMBL:ENST00000576544|ENSEMBL:ENST00000707468|ENSEMBL:ENST00000707469|ENSEMBL:ENST00000707489|ENSEMBL:ENST00000707487|ENSEMBL:ENST00000707485|ENSEMBL:ENST00000707467|ENSEMBL:ENST00000575994|ENSEMBL:ENST00000570382|ENSEMBL:ENST00000707482|ENSEMBL:ENST00000707473|ENSEMBL:ENST00000707479|ENSEMBL:ENST00000681052|ENSEMBL:ENST00000575659|ENSEMBL:ENST00000707471|ENSEMBL:ENST00000680727|ENSEMBL:ENST00000679480|ENSEMBL:ENST00000575842|ENSEMBL:ENST00000707466|ENSEMBL:ENST00000680227|ENSEMBL:ENST00000681842|ENSEMBL:ENST00000679778|ENSEMBL:ENST00000573283|ENSEMBL:ENST00000707470|ENSEMBL:ENST00000575087|ENSEMBL:ENST00000615544|ENSEMBL:ENST00000571721|ENSEMBL:ENST00000707490|ENSEMBL:ENST00000707474|ENSEMBL:ENST00000707472|ENSEMBL:ENSP00000458162|ENSEMBL:ENSP00000516875|ENSEMBL:ENSP00000516874|ENSEMBL:ENSG00000184009|ENSEMBL:ENSG00000291420|ENSEMBL:ENSP00000506126|ENSEMBL:ENSP00000460660|ENSEMBL:ENSP00000516882|ENSEMBL:ENSP00000506253|ENSEMBL:ENSP00000516887|ENSEMBL:ENSP00000516870|ENSEMBL:ENSP00000460464|ENSEMBL:ENSP00000516872|ENSEMBL:ENSP00000477968|ENSEMBL:ENSP00000459124|ENSEMBL:ENSP00000505060|ENSEMBL:ENSP00000466346|ENSEMBL:ENSP00000516869|ENSEMBL:ENSP00000516881|ENSEMBL:ENSP00000516871|ENSEMBL:ENSP00000516884|ENSEMBL:ENSP00000516886|ENSEMBL:ENSP00000505235|ENSEMBL:ENSP00000458435|ENSEMBL:ENSP00000461672|ENSEMBL:ENSP00000506201|ENSEMBL:ENSP00000516877|ENSEMBL:ENSP00000505193|ENSEMBL:ENSP00000516876|ENSEMBL:ENSP00000516879|ENSEMBL:ENSP00000459119"	"-"	"P62736"	"ENSEMBL:ENSG00000107796|ENSEMBL:ENST00000458159|ENSEMBL:ENST00000415557|ENSEMBL:ENST00000224784|ENSEMBL:ENSP00000396730|ENSEMBL:ENSP00000224784|ENSEMBL:ENSP00000398239"	"-"	"physical association"	"reactome:R-HSA-9913263"	"24243840"	"ACTG1"	"ACTA2"
"247"	"P68032"	"ENSEMBL:ENST00000290378|ENSEMBL:ENSP00000290378|ENSEMBL:ENSG00000159251"	"-"	"P63267"	"ENSEMBL:ENST00000409624|ENSEMBL:ENST00000409731|ENSEMBL:ENST00000345517|ENSEMBL:ENSP00000295137|ENSEMBL:ENSP00000386929|ENSEMBL:ENSP00000386857|ENSEMBL:ENSG00000163017"	"-"	"physical association"	"reactome:R-HSA-9913263"	"24243840"	"ACTG2"	"ACTC1"
"248"	"P60709"	"ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000642480|ENSEMBL:ENST00000675515|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000494269|ENSEMBL:ENSP00000495995"	"-"	"P68133"	"ENSEMBL:ENST00000366684|ENSEMBL:ENSP00000355645|ENSEMBL:ENSG00000143632"	"-"	"physical association"	"reactome:R-HSA-9913263"	"24243840"	"ACTB"	"ACTA1"
"249"	"P68133"	"ENSEMBL:ENST00000366684|ENSEMBL:ENSP00000355645|ENSEMBL:ENSG00000143632"	"-"	"P63267"	"ENSEMBL:ENST00000409624|ENSEMBL:ENST00000409731|ENSEMBL:ENST00000345517|ENSEMBL:ENSP00000295137|ENSEMBL:ENSP00000386929|ENSEMBL:ENSP00000386857|ENSEMBL:ENSG00000163017"	"-"	"physical association"	"reactome:R-HSA-9913263"	"24243840"	"ACTG2"	"ACTA1"
"260"	"Q01362"	"ENSEMBL:ENST00000278888|ENSEMBL:ENSP00000278888|ENSEMBL:ENSG00000149534"	"-"	"P12319"	"ENSEMBL:ENSG00000179639|ENSEMBL:ENSG00000291905|ENSEMBL:ENSP00000509626|ENSEMBL:ENSP00000517534|ENSEMBL:ENSP00000517536|ENSEMBL:ENSP00000357097|ENSEMBL:ENST00000709171|ENSEMBL:ENST00000693622|ENSEMBL:ENST00000709173|ENSEMBL:ENST00000368115"	"-"	"physical association"	"reactome:R-HSA-2685660"	"24243840"	"MS4A2"	"FCER1A"
